title,short_description,price
Xerox 006R90321 toner cartridge Original Black 6 pc(s),Toner (6 Per Box) for CopyCentre C65 Digital Copier,4995.0
"Acer Aspire 3 A315-53-522A Notebook Black 39.6 cm (15.6"") 1366 x 768 pixels 8th gen Intel® Core™ i5 4 GB DDR4-SDRAM 1128 GB HDD+SSD Wi-Fi 5 (802.11ac) Windows 10 Home",,
C2G 10m LC/LC Duplex 9/125 Single-Mode Fibre Patch Cable networking cable Yellow,10m LC/LC Duplex 9/125 Single-Mode Fibre Patch Cable,
"HP Pavilion dv7-1211ea Notebook Silver 43.2 cm (17"") 1440 x 900 pixels Intel® Core™2 Duo 4 GB DDR2-SDRAM 250 GB HDD NVIDIA® GeForce® 9200M GS Windows Vista Home Premium","Intel Core 2 Duo Processor P7450 (3M Cache, 2.13 GHz, 1066 MHz FSB), 4GB DDR2, 250GB SATA HDD, 17"" WXGA+ HD BrightView 1440 x 900, nVidia GeForce 9200M GS, DVD Super Multi DL, Gigabit Ethernet, WLAN 802.11 b/g, WebCam, Windows Vista Home Premium 32-bit",10995.0
"HP Pick Up & Return, HW Support, 3 year (Consumer)",HP Care Pack Services offer upgraded service levels to enhance your warranty cover for your total peace of mind and help you to stay up and running.,
StarTech.com DB9 RS232 Serial Null Modem Adapter - M/F,StarTech.com DB9 RS232 Serial Null Modem Adapter - M/F,595.0
Acer Storage Server ASC R720 E5335,"Storage Server ASC R720. ASC 5.0 Valuepack. Rack 2U, Xeon E5335, 2x1GB FBD 667, RAID 5 +128MB cache, 5x500GB SATA HDD, DVD, EURO power cable, no rack rail kit, no KB, no mouse, EasyBuild 7.1",
Speck Runner Case f/ iPod nano (3rd gen) Pink,Runner Case f/ iPod nano (3rd gen) Pink,
Acer 1GB DDR2-RAM memory module 533 MHz,,
Philips Coaxial cable SWV2519W/10,"SWV2519W, Coaxial cable, 2.0 m, Pal Plugs",
"MSI Megabook 00163A1-SKU14 notebook Black 39.1 cm (15.4"") 1280 x 800 pixels Intel® Core™2 Duo 3 GB DDR2-SDRAM 320 GB NVIDIA® GeForce® 8600M GT Windows Vista Home Premium","MegaBook GX600-9333VHP - Intel Core 2 Duo T9300 (2.50 GHz), 3072MB DDR2, 320GB SATA HDD, 15.4"" WXGA TFT, 1280 x 800, 1.3MP, VGA, HDMI, 4x USB 2.0, TV Out, RJ-11, Gigabit Ethernet, 802.11 a/b/g/n, Windows Vista Home Premium, 2.6kg, black",
"Da-Lite Model C 50"" x 50"" Matte White projection screen","Model C 50"" x 50"" Matte White",
Samsung High Capacity Li-Ion Battery for Q1,High Capacity Li-Ion Battery for Samsung Q1,
Acer Main Battery Pack for TravelMate 620 Series & 630 Series,Main Battery Pack 14.8v 4000mAh Acer -  Laptop - Lithium ion,
"DELL Latitude E5470 Notebook Black 35.6 cm (14"") 1600 x 900 pixels 6th gen Intel® Core™ i5 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Pro","Intel Core i5-6300U (3MB Cache, 2.4GHz), 8GB DDR4-SDRAM, 256GB SSD, 35.6 cm (14"") HD+ 1600 x 900 WLED, Intel HD Graphics 520, LAN, WLAN, Webcam, Windows 10 Pro 64-bit",
Sony VGP-CP20 VAIO Pouch for high protection notebook case Black,VGP-CP20 VAIO Pouch for high protection,
VTech Baby Magische Knuffel Eenhoorn,,
"Xerox Phaser 5500 Network Enhanced Engine, 50ppm, 1200x1200Dpi, 256Mb Memory, Hard Disk, 100 sheet MPT, 2 x 500 A3 paper trays, USB/Parallel, 10/100 Base TX Ethernet 220V","Phaser 5500 Network Enhanced Engine, 50ppm, 1200x1200Dpi, 256Mb Memory, Hard Disk, 100 sheet MPT, 2 x 500 A3 paper trays, USB/Parallel, 10/100 Base TX Ethernet 220V",
ESET Small Business Security Pack License,"Small Business Security Pack, 15-15 Users, 2Y, RENEWAL",
"Lenovo IdeaPad L340 Gaming Notebook Black 39.6 cm (15.6"") 1920 x 1080 pixels 9th gen Intel® Core™ i7 16 GB DDR4-SDRAM 1256 GB HDD+SSD NVIDIA GeForce GTX 1650 Wi-Fi 5 (802.11ac)","Intel Core i7-9750H (12MB Cache, 2.6GHz), 16GB DDR4-SDRAM, 1000GB HDD, 256GB SSD, 39.6 cm (15.6"") Full HD 1920 x 1080 IPS N, Intel UHD Graphics 630, NVIDIA GeForce GTX 1650 (4GB), LAN, WLAN, Bluetooth, Webcam, No OS",
HP ProCurve 420 Wireless Access Point,Refurbished A FULL-FEATURED IEEE 802.11G SINGLE-RADIO ACCESS POINT IDEALLY,9495.0
Manhattan PS/2 - USB Adapter PS/2,PS/2 - USB Adapter,
"Acer Aspire 7112WSMi 43.2 cm (17"") 1440 x 900 pixels 1 GB DDR2-SDRAM 80 GB Intel® GMA 950 Windows XP Media Center Edition 2005","legitieme Windows® XP Media Center Edition 2005, Intel® Mobile Celeron® processor 420 (1.6GHz/1MB cache), 17TFT WXGA+ CrystalBrite, 1024MB DDR II RAM (2x 512), 80GB HDD (5400rpm), Super Multi DVD-RW Double Layer, 6-cell LiIon, 56K modem, Gigabit & Wireless Lan 802.11b/g, 128MB shared, 0.3MP Orbicam, 5-in-1 card reader, AZB",
"Samsung R R530-JS06BE 39.6 cm (15.6"") 1366 x 768 pixels Intel® Celeron® 4 GB DDR3-SDRAM 320 GB NVIDIA® GeForce® 310M Windows 7 Home Premium","R530-JS06BE, Intel Celeron Dual-Core T3100, 4GB DDR2 RAM, 320GB SATA HDD, DVD Super Multi, 15.6'' LED HD, Windows 7 Home Premium",
Canon SELPHY CP740 photo printer Inkjet 300 x 300 DPI Wi-Fi,"SELPHY CP740 - 300 x 300 dpi, 24 bit, inkjet, WiFi IEEE 802.11b, USB, 2"" LCD",
"ASUS W6FP-3P027P 33.8 cm (13.3"") 1280 x 800 pixels Intel® Core™2 Duo 1 GB DDR2-SDRAM 120 GB 945GM Express Windows XP Professional",,
Canon DC21,"2.2MP CCD, Slimline design, DVD-R DL recording, 2.7"" widescreen LCD, AV Input, 10x optical zoom, Dolby Digital® audio",
Vogel's DTV 90 Silver,"DTV 90, Plasma/LCD/TV/DVD/Audio, Silver",
"Allied Telesis Gigabit Ethernet media converter, SX to LX, fibre SC, 10km network media converter 1000 Mbit/s","Gigabit Ethernet media converter, SX to LX, fibre SC, 10km",
"ASUS V1JP-AS050 notebook 39.1 cm (15.4"") Intel® Core™2 Duo 1 GB DDR2-SDRAM 120 GB AMD Mobility Radeon X1700","V1JP-AS050 - Intel Core 2 Duo T5500, 1024MB DDR2 RAM, 120GB SATA HDD, DVD Super Multi, 15.4"" TFT, no OS",
"EIZO ColorEdge CS2731-Photo 68.6 cm (27"") 2560 x 1440 pixels WQHD LED Black","27"", WQHD IPS 2560 x 1440 px, 350 cd/m², AdobeRGB, sRGB, ColorNavigator, HDMI, DVI, DP, USB Type-C, 42 + Photo Set",
APC kabel par printer bi-directional parallel cable 2 m,"APC PARALLEL PRINTER CABLE BI-DIRECTIONAL DB25 MALE TO CENT 26 MALE. 2 METER, 25C",
Philips In-Ear Headphones SHE2631/00,"SHE2631 In-Ear Headphones, 15 mm speaker driver optimises wearing comfort, Ear cushions improve wearing comfort and bass response",
"Epson TM-T88V (837): Parallel, w/o PS, ECW","TM-T88V - Thermal line, USB, parallel IEEE-1284, 300mm/s, 55 – 80 μm, 4 K Buffer, 180 dpi × 180 dpi, 24 VDC ± 7%, 1.6 kg, W/O PS",
"Fujitsu KBPC M2 """"UK"""" LB keyboard PS/2 QWERTY English Ivory","KEYBOARD KBPC M2 """"UK"""" LB KEYBOARD KBPC M2 """"UK"""" LB",
Toshiba Satellite Pro A100-830,,
HP StorageWorks Ultrium 215 Internal tape drive,,
"HP 15s-eq1014nf Notebook Black 39.6 cm (15.6"") 1366 x 768 pixels AMD Athlon Silver 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home","AMD Athlon Silver 3050U (2.3GHz), 8GB DDR4-SDRAM, 512GB SSD, 39.6 cm (15.6"") HD 1366 x 768 SVA, WLAN, HP TrueVision HD, Windows 10 Home 64-bit",
"ASUS W5FM-2P007P, DE 30.7 cm (12.1"") 1280 x 768 pixels Intel® Core™2 Duo 1 GB DDR2-SDRAM 120 GB Windows XP Professional",,
Integral 2GB SD Card memory card,2GB SD Card,1195.0
Brother LC51C Original Cyan,LC51C,1795.0
HP 364 Ink Cartridges Black Original,364 Ink Cartridges Black,
APC Emergency Power Off (EPO),Emergency Power Off (EPO),69195.0
Whirlpool ACT 6465/S hob Silver Built-in 59 cm Gas 4 zone(s),,
C2G 2m DB9 Cable serial cable Black,"2m DB9 Cable, F/F",
Cooler Master Vortex 752 Black,Vortex 752,
"Sandberg LUX-LINE, Scart M-M 1 m","LUX-LINE, Scart M-M 1 m",
"APC NetBotz Wide-Angle Lens, 4.8mm, Fixed Objective",,
Philips HP6318/01 Ladyshave,Ladyshave,
"Canon PowerShot SX1 IS 10 MP CMOS 3648 x 2736 pixels 1/2.3"" Black","PowerShot SX1 IS - 10MP, 3648 x 2736, 4x dig. zoom, 20x opt. zoom, 1/2.3"" CCD, AF, 2.8"" TFT, USB",
